uid	followers_count	friends_count	statuses_count	favourites_count	listed_count	created_year	name_words	screen_name_length	description_length
202388889	0.000253164617886	0.00669284616698	0.00860951355794	0.0408646835812	0.000603271069801	0.4	0.125	0.75	0.22754491018
1392518336	0.000287577679063	0.00285128905583	0.0175281331993	0.0137776089392	0.00248011439807	0.7	0.125	0.666666666667	0.952095808383
361208576	0.000152331942131	0.00196687724091	0.00712853176429	0.0021891452165	0.000625614442756	0.5	0.25	0.416666666667	0.77245508982
1535215357	0.000570582993354	0.00831825166467	0.170903844371	0.168882672561	0.00151934936098	0.7	0.0	0.666666666667	0.137724550898
4396196375	0.000301054122601	0.00329520232201	0.033277088148	0.0514880815337	0.00165340959871	0.9	0.0	0.833333333333	0.946107784431
17938477	7.98960581162e-05	0.00170735871607	0.00496842572272	0.0154237847462	0.00125122888551	0.2	0.25	1.0	0.239520958084
174004739	8.92814384371e-05	0.00641966877241	0.051249788626	0.25494428328	0.000603271069801	0.4	0.0	0.75	0.0
53783678	0.000183135241646	0.00368448010927	0.0357208444778	0.133332565885	0.00116185539369	0.3	0.25	0.5	0.724550898204
257662370	0.000184338495533	0.00469865118661	0.0174763124735	0.0180427008028	0.000647957815712	0.5	0.25	0.916666666667	0.526946107784
4795355113	6.81041700207e-05	0.00138637527745	0.000701852636402	0.000800064465626	0.000178746983645	1.0	0.25	0.916666666667	0.958083832335
1633971270	2.74341886303e-05	0.000201468328496	0.00696761477382	0.0113563107243	4.46867459112e-05	0.7	0.125	0.833333333333	0.479041916168
2803810119	1.37170943151e-05	0.00110636844801	0.00358835797394	0.0157672176943	6.70301188667e-05	0.8	0.0	0.583333333333	0.0
2244770588	0.0114159915811	0.0828239713164	0.0113305562273	0.00380462310632	0.00527303601752	0.7	0.0	0.916666666667	0.766467065868
102071251	8.35058197781e-05	0.00267030903193	0.00515116196613	0.0013296035364	0.000491554205023	0.4	0.125	0.25	0.622754491018
3358825450	8.25432166682e-05	0.000478060440499	0.00412474794217	0.0203488818284	0.0	0.9	0.0	0.75	0.11377245509
555940842	0.00010420178664	0.00140003414717	0.038507344906	0.0236220472441	0.000111716864778	0.6	0.0	0.75	0.353293413174
2469354073	2.06959668614e-05	0.000153662284446	0.000134552059828	3.45351567896e-05	0.000268120475467	0.8	0.125	1.0	0.0
360464656	9.5538358651e-05	0.00281031244665	0.0744427453711	0.0250456631518	0.000312807221378	0.5	0.125	0.75	0.880239520958
77243076	2.18992207487e-05	0.000645381594673	0.0111887310832	7.67447928658e-06	0.000223433729556	0.3	0.25	0.75	0.305389221557
1731752761	3.60976166188e-06	0.000140003414717	4.36385058903e-05	0.00011703580912	0.0	0.7	0.0	0.666666666667	0.215568862275
2330149164	0.000104442437417	0.00161174662797	0.0231802288476	0.00278391736121	0.000245777102511	0.8	0.0	0.666666666667	0.14371257485
2830586398	4.11512829454e-05	0.00135905753799	0.00108005302078	0.00134878973462	6.70301188667e-05	0.8	0.25	1.0	0.497005988024
443273019	5.29431710409e-05	0.00057708724603	0.00979775370791	0.00500951635432	2.23433729556e-05	0.5	0.125	0.666666666667	0.874251497006
2591381383	0.001426337158	0.00596892607137	0.00301196604197	0.000347270187718	0.00806595763696	0.8	0.25	1.0	0.934131736527
